CRIM,INDUS,RM,TAX,PTRATIO,LSTAT,MEDV
5.82401,18.1,6.242,666.0,20.2,10.74,23.0
5.70818,18.1,6.75,666.0,20.2,7.74,23.7
5.73116,18.1,7.061,666.0,20.2,7.01,25.0
2.81838,18.1,5.762,666.0,20.2,10.42,21.8
2.37857,18.1,5.871,666.0,20.2,13.34,20.6
3.67367,18.1,6.312,666.0,20.2,10.58,21.2
5.69175,18.1,6.114,666.0,20.2,14.98,19.1
4.83567,18.1,5.905,666.0,20.2,11.45,20.6
0.15086,27.74,5.454,711.0,20.1,18.06,15.2
0.18337,27.74,5.414,711.0,20.1,23.97,7.0
0.20746,27.74,5.093,711.0,20.1,29.68,8.1
0.10574,27.74,5.983,711.0,20.1,18.07,13.6
0.11132,27.74,5.983,711.0,20.1,13.35,20.1
0.17331,9.69,5.707,391.0,19.2,12.01,21.8
0.27957,9.69,5.926,391.0,19.2,13.59,24.5
0.17899,9.69,5.67,391.0,19.2,17.6,23.1
0.2896,9.69,5.39,391.0,19.2,21.14,19.7
0.26838,9.69,5.794,391.0,19.2,14.1,18.3
0.23912,9.69,6.019,391.0,19.2,12.92,21.2
0.17783,9.69,5.569,391.0,19.2,15.1,17.5
0.22438,9.69,6.027,391.0,19.2,14.33,16.8
0.06263,11.93,6.593,273.0,21.0,9.67,22.4
0.04527,11.93,6.12,273.0,21.0,9.08,20.6
0.06076,11.93,6.976,273.0,21.0,5.64,23.9
0.10959,11.93,6.794,273.0,21.0,6.48,22.0
0.04741,11.93,6.03,273.0,21.0,7.88,11.9
